promo_id,campaign_name,promo_type,mechanic,discount_rate,date_start,date_end,perimeter,store_id
P005,Dog Days 2021,produits,-20 % univers chien,0.2,2021-09-08,2021-09-21,omnicanal,
P006,Black Friday 2021,produits,-30 % sélection,0.3,2021-11-22,2021-11-29,omnicanal,
P007,Noël des animaux 2021,mise_en_avant,Têtes de gondole fêtes,0.0,2021-12-01,2021-12-24,omnicanal,
P008,Cadeau de Noël 2021,cadeau_seuil,Peluche offerte dès 40 €,0.0,2021-12-10,2021-12-24,omnicanal,
P009,Soldes d'hiver 2022,produits,-25 % sélection,0.25,2022-01-08,2022-02-04,omnicanal,
P010,Cat Days 2022,produits,-20 % univers chat,0.2,2022-03-10,2022-03-23,omnicanal,
P011,Anniversaire MaxiZoo 2022,seuils,-10 € dès 60 € d'achat,0.0,2022-05-12,2022-05-25,omnicanal,
P012,Été sans parasites 2022,produits,-15 % antiparasitaires,0.15,2022-06-05,2022-06-25,omnicanal,
P013,Dog Days 2022,produits,-20 % univers chien,0.2,2022-09-08,2022-09-21,omnicanal,
P014,Black Friday 2022,produits,-30 % sélection,0.3,2022-11-22,2022-11-29,omnicanal,
P015,Noël des animaux 2022,mise_en_avant,Têtes de gondole fêtes,0.0,2022-12-01,2022-12-24,omnicanal,
P016,Cadeau de Noël 2022,cadeau_seuil,Peluche offerte dès 40 €,0.0,2022-12-10,2022-12-24,omnicanal,
P017,Influenceurs #MonAnimalEtMoi printemps 2022,influence,Produits offerts à 15 influenceurs,0.0,2022-04-05,2022-04-18,online,
P018,Influenceurs #MonAnimalEtMoi automne 2022,influence,Produits offerts à 15 influenceurs,0.0,2022-10-05,2022-10-18,online,
P019,Soldes d'hiver 2023,produits,-25 % sélection,0.25,2023-01-08,2023-02-04,omnicanal,
P020,Cat Days 2023,produits,-20 % univers chat,0.2,2023-03-10,2023-03-23,omnicanal,
P021,Anniversaire MaxiZoo 2023,seuils,-10 € dès 60 € d'achat,0.0,2023-05-12,2023-05-25,omnicanal,
P022,Été sans parasites 2023,produits,-15 % antiparasitaires,0.15,2023-06-05,2023-06-25,omnicanal,
P023,Dog Days 2023,produits,-20 % univers chien,0.2,2023-09-08,2023-09-21,omnicanal,
P024,Black Friday 2023,produits,-30 % sélection,0.3,2023-11-22,2023-11-29,omnicanal,
P025,Noël des animaux 2023,mise_en_avant,Têtes de gondole fêtes,0.0,2023-12-01,2023-12-24,omnicanal,
P026,Cadeau de Noël 2023,cadeau_seuil,Peluche offerte dès 40 €,0.0,2023-12-10,2023-12-24,omnicanal,
P027,Influenceurs #MonAnimalEtMoi printemps 2023,influence,Produits offerts à 15 influenceurs,0.0,2023-04-05,2023-04-18,online,
P028,Influenceurs #MonAnimalEtMoi automne 2023,influence,Produits offerts à 15 influenceurs,0.0,2023-10-05,2023-10-18,online,
P029,Soldes d'hiver 2024,produits,-25 % sélection,0.25,2024-01-08,2024-02-04,omnicanal,
P030,Cat Days 2024,produits,-20 % univers chat,0.2,2024-03-10,2024-03-23,omnicanal,
P031,Anniversaire MaxiZoo 2024,seuils,-10 € dès 60 € d'achat,0.0,2024-05-12,2024-05-25,omnicanal,
P032,Été sans parasites 2024,produits,-15 % antiparasitaires,0.15,2024-06-05,2024-06-25,omnicanal,
P033,Dog Days 2024,produits,-20 % univers chien,0.2,2024-09-08,2024-09-21,omnicanal,
P034,Black Friday 2024,produits,-30 % sélection,0.3,2024-11-22,2024-11-29,omnicanal,
P035,Noël des animaux 2024,mise_en_avant,Têtes de gondole fêtes,0.0,2024-12-01,2024-12-24,omnicanal,
P036,Cadeau de Noël 2024,cadeau_seuil,Peluche offerte dès 40 €,0.0,2024-12-10,2024-12-24,omnicanal,
P037,Influenceurs #MonAnimalEtMoi printemps 2024,influence,Produits offerts à 15 influenceurs,0.0,2024-04-05,2024-04-18,online,
P038,Influenceurs #MonAnimalEtMoi automne 2024,influence,Produits offerts à 15 influenceurs,0.0,2024-10-05,2024-10-18,online,
P039,Soldes d'hiver 2025,produits,-25 % sélection,0.25,2025-01-08,2025-02-04,omnicanal,
