sku_id,sku_label,commodity_group,brand,brand_type,is_eb,is_pl,base_price,launch_date
SKU001,Croquettes chien adulte 12 kg,Chien,NutriPaws,nationale,0,0,42.99,
SKU002,Croquettes chiot poulet 4 kg,Chien,Ligne Prestige,exclusive,1,0,19.99,
SKU003,Croquettes chien senior light 8 kg,Chien,NutriPaws,nationale,0,0,34.99,2023-03-15
SKU004,Pâtée chien bœuf 6×400 g,Chien,NutriPaws,nationale,0,0,9.49,
SKU005,Friandises dentaires chien x28,Chien,MaxiZoo Sélection,distributeur,0,1,12.99,
SKU006,Os à mâcher naturel,Chien,NutriPaws,nationale,0,0,4.49,
SKU007,Laisse rétractable 5 m,Chien,NutriPaws,nationale,0,0,17.99,
SKU008,Collier cuir taille M,Chien,NutriPaws,nationale,0,0,14.99,
SKU009,Harnais confort taille L,Chien,MaxiZoo Sélection,distributeur,0,1,24.99,
SKU010,Panier orthopédique 80 cm,Chien,Ligne Prestige,exclusive,1,0,59.99,
SKU011,Jouet corde nœud XL,Chien,Ligne Prestige,exclusive,1,0,7.99,
SKU012,Shampooing chien poils longs 300 ml,Chien,NutriPaws,nationale,0,0,9.99,
SKU013,Sac de transport chien 10 kg,Chien,NutriPaws,nationale,0,0,39.99,
SKU014,"Gamelle antidérapante inox 1,5 L",Chien,NutriPaws,nationale,0,0,11.99,
SKU015,Croquettes chat stérilisé 10 kg,Chat,Ligne Prestige,exclusive,1,0,38.99,
SKU016,Croquettes chaton 2 kg,Chat,MaxiZoo Sélection,distributeur,0,1,12.99,
SKU017,Pâtée chat saumon 12×85 g,Chat,FelixCo,nationale,0,0,8.99,
SKU018,Friandises chat au malt x60,Chat,MaxiZoo Sélection,distributeur,0,1,6.99,
SKU019,Litière agglomérante 15 L,Chat,FelixCo,nationale,0,0,13.99,
SKU020,Litière végétale 10 L,Chat,FelixCo,nationale,0,0,11.49,
SKU021,Maison de toilette XL,Chat,FelixCo,nationale,0,0,34.99,
SKU022,Arbre à chat 120 cm,Chat,Ligne Prestige,exclusive,1,0,69.99,
SKU023,Griffoir carton double,Chat,FelixCo,nationale,0,0,9.99,
SKU024,Jouet plumeau interactif,Chat,FelixCo,nationale,0,0,5.99,
SKU025,Herbe à chat pot 120 g,Chat,FelixCo,nationale,0,0,3.49,
SKU026,Fontaine à eau 2 L,Chat,MaxiZoo Sélection,distributeur,0,1,29.99,2024-09-01
SKU027,Panier douillet gris,Chat,Ligne Prestige,exclusive,1,0,22.99,
SKU028,Collier réfléchissant chat,Chat,MaxiZoo Sélection,distributeur,0,1,6.49,
SKU029,Aquarium 120 L équipé,Aquariophilie,MaxiZoo Sélection,distributeur,0,1,189.0,
SKU030,Filtre interne 600 L/h,Aquariophilie,AquaSphère,nationale,0,0,27.99,
SKU031,Chauffage aquarium 150 W,Aquariophilie,AquaSphère,nationale,0,0,21.99,
SKU032,Flocons poissons tropicaux 250 ml,Aquariophilie,AquaSphère,nationale,0,0,6.99,
SKU033,Granulés poissons de fond 120 g,Aquariophilie,MaxiZoo Sélection,distributeur,0,1,4.99,
SKU034,Conditionneur d'eau 250 ml,Aquariophilie,Ligne Prestige,exclusive,1,0,8.99,
SKU035,Gravier naturel 5 kg,Aquariophilie,Ligne Prestige,exclusive,1,0,7.49,
SKU036,Mélange graines perruche 3 kg,Oiseau,MaxiZoo Sélection,distributeur,0,1,9.99,
SKU037,Pâtée aux œufs canaris 1 kg,Oiseau,MaxiZoo Sélection,distributeur,0,1,7.49,
SKU038,Boules de graisse x30,Oiseau,Ligne Prestige,exclusive,1,0,8.99,
SKU039,Cage perruche 60 cm,Oiseau,MaxiZoo Sélection,distributeur,0,1,49.99,
SKU040,Mangeoire extérieure bois,Oiseau,PlumeDor,nationale,0,0,15.99,
SKU041,Millet en grappes 300 g,Oiseau,Ligne Prestige,exclusive,1,0,4.29,
SKU042,Granulés lapin nain 3 kg,Rongeur,ZooVital,nationale,0,0,8.99,
SKU043,"Foin de Crau 2,5 kg",Rongeur,ZooVital,nationale,0,0,10.99,
SKU044,Litière chanvre 30 L,Rongeur,MaxiZoo Sélection,distributeur,0,1,12.99,
SKU045,Cage rongeur 100 cm,Rongeur,ZooVital,nationale,0,0,64.99,
SKU046,Roue d'exercice silencieuse,Rongeur,ZooVital,nationale,0,0,13.99,
SKU047,Friandises carotte rongeur,Rongeur,Ligne Prestige,exclusive,1,0,3.99,
SKU048,Terrarium verre 80×40,Reptile,MaxiZoo Sélection,distributeur,0,1,129.0,
SKU049,Lampe UVB 100 W,Reptile,ReptiCare,nationale,0,0,32.99,2025-02-15
SKU050,Substrat tropical 20 L,Reptile,MaxiZoo Sélection,distributeur,0,1,16.99,
SKU051,Grillons lyophilisés 70 g,Reptile,MaxiZoo Sélection,distributeur,0,1,5.99,
SKU052,Pipettes antiparasitaires chien x6,Hygiène & Soins,MaxiZoo Sélection,distributeur,0,1,22.99,
SKU053,Collier antiparasitaire chat,Hygiène & Soins,SanoPet,nationale,0,0,18.99,
SKU054,Spray antipuces habitat 500 ml,Hygiène & Soins,SanoPet,nationale,0,0,14.99,
SKU055,Vermifuge chien-chat x4,Hygiène & Soins,SanoPet,nationale,0,0,11.99,
SKU056,Brosse démêlante double,Hygiène & Soins,SanoPet,nationale,0,0,12.49,
SKU057,Jouet peluche couinante,Accessoires & Jouets,Ligne Prestige,exclusive,1,0,6.99,
SKU058,Balle distributrice de friandises,Accessoires & Jouets,ZooVital,nationale,0,0,9.99,
SKU059,Tunnel de jeu pliable,Accessoires & Jouets,MaxiZoo Sélection,distributeur,0,1,14.99,
SKU060,Coffret cadeau Noël animaux,Accessoires & Jouets,MaxiZoo Sélection,distributeur,0,1,19.99,2025-10-01
